country,year,sci_literacy,sci_trust,tech_acceptance,relative_salary,rd_budget_per_researcher,innovation_score,rd_gdp_pct,researchers_per_m,patent_apps,journal_articles,gdp_per_capita,gov_edu_exp_pct,internet_users_pct,hi_tech_export_pct,tertiary_enroll,mobile_subs_per100,secure_servers_per_m,youth_unemp_pct,tertiary_attainment,population,articles_per_m_log,patents_per_m_log,pisa_math,pisa_reading,country_name
HUN,2017,,,,1.500834120483539,66768.2468721002,41.74,1.31498,2902.24254,496.0,6766.09,14736.1668157258,4.64034986495972,76.7505471201922,17.2630732776764,51.3840599060059,101.629260697653,13712.8966738756,10.699,20.8109029221453,9726756.0,6.546234754115737,3.951116076768335,,,HUN
HUN,2018,481.0,,,1.435567134939796,64838.73127120993,44.94,1.50196,3846.48666,407.0,6875.82,16605.0570511887,4.60567998886108,76.0743606365063,16.8209858629646,52.5629386901855,102.737202940663,19379.9008629269,10.115,21.8310533614892,9706964.0,6.56433338015563,3.759539684492417,481.0,476.0,HUN
HUN,2019,,,,1.3637776530388117,61970.4016476755,44.51,1.46473,4021.15293,427.0,7377.59,17012.8598553199,4.20140981674194,80.3716936050482,17.3787600622128,54.2122917175293,105.141557934591,26447.1020825133,11.472,22.6326181219748,9694824.0,6.635923399408869,3.807642473048565,,,HUN
HUN,2020,,,,1.3736894387081635,60103.570013173,41.53,1.58067,4309.61589,428.0,7762.07,16386.9308821258,4.12265014648438,84.77115202,17.4648807221778,56.6071815490723,105.981902376717,33083.571663234,12.882,24.0824909210205,9670419.0,6.689177772015753,3.812394520681009,,,HUN
HUN,2021,,,,1.3468491262566389,69808.52777401784,42.7,1.63327,4452.48668,433.0,8387.03,19030.628130329,4.65407991409302,88.64083466,16.3975126429279,58.6536102294922,105.137285804787,42102.778838019,13.549,25.8268891446559,9630932.0,6.770609395688773,3.827756310186036,,,HUN
HUN,2022,486.0,,,1.3090798608473728,54231.670094026646,39.8,1.39056,4725.1504,,8801.72,18428.028825614,3.8011999130249,89.14282688,18.4048917258431,60.2746810913086,105.793848314995,51406.6835924429,10.541,24.6647205352783,9605074.0,6.821501612784286,,473.0,473.0,HUN
HUN,2023,,,,1.3398156480194927,67049.8999804695,41.3,1.37748,4567.0829,,,22230.6277875187,,91.4500713,18.8624569621863,56.5924415588379,105.054424922699,53717.7865400025,12.779,26.3525127220673,9592186.0,,,,,HUN
IDN,2012,382.0,,,,,28.1,,,,2111.14,3632.27254030331,3.40748000144958,14.52,10.871757163658,29.0425391195214,111.581048999,5.22361576902754,15.673,5.77638038733417,252698525.0,2.235844892939185,,375.0,396.0,IDN
IDN,2013,,,,,,31.95,0.0847,,663.0,2815.34,3566.60284506078,3.35904002189636,14.94,9.67606262852233,29.894529174265,122.424816798816,7.69974987186659,15.977,6.18710368188552,255852467.0,2.485220213323207,1.2785245954424769,,,IDN
IDN,2014,,,,,,31.81,,,702.0,3354.32,3441.06808464008,3.28800988197327,17.1431598350566,9.32850761968047,29.9904910473273,125.767185647597,11.6116741423225,15.977,7.96649980545044,258877399.0,2.635993778721345,1.3114922376553175,,,IDN
IDN,2015,403.0,,,,,29.79,,,1058.0,4474.1,3288.22269725538,3.58361005783081,22.062742603379,8.88987824359938,32.4590200433758,129.468797674053,17.4523036924373,17.224,8.48301029205322,261799249.0,2.89534891803036,1.6176569350538506,386.0,397.0,IDN
IDN,2016,,,,,48611.28760335939,29.07,0.24535,177.73496,1101.0,6753.72,3521.46943457574,1.21023452496964,25.447353701827,7.99860974921307,34.8307173410877,145.704251250337,302.667050169382,15.997,8.79403018951416,264627418.0,3.2779601918931847,1.6410463820282857,,,IDN
IDN,2017,,,,1.3964598479114907,42241.79234467537,30.1,0.23805,214.08281,2271.0,13002.06,3798.88326174526,1.05324382490056,32.335806250688,8.44632702628773,35.967012362631,162.782511760443,1267.73606423762,14.553,8.23369979858398,267346658.0,3.904670252440613,2.2507220651745485,,,IDN
IDN,2018,396.0,0.7670336738492802,0.7928409989300275,,40606.94975684844,29.8,0.22632,215.18755,1407.0,21795.18,3860.95353090726,0.994436460846179,39.9046386385762,8.21299200751234,36.1494878042588,118.330216938024,1272.12317710915,16.369,9.37423038482666,269951846.0,4.403510302087061,1.8264894520957389,379.0,371.0,IDN
IDN,2019,,,,1.2785474917425472,28777.33972944784,29.72,0.27129,387.17063,3093.0,31005.34,4106.94856160358,0.964399077622927,47.6906489788375,8.09206094724751,37.3230862728703,125.244348145809,1672.32938886525,13.577,8.78998911544875,272489381.0,4.743065154524236,2.5137290196573145,,,IDN
IDN,2020,,,,1.300417508199613,27360.062984790093,26.49,0.28068,395.34168,1309.0,32895.71,3853.70288774146,1.01593221347809,53.72649449,8.4247469855579,38.1650601406923,129.40362112725,1868.76353333811,14.773,10.5170803070068,274814866.0,4.793319298920683,1.7514940316079597,,,IDN
IDN,2021,,,,1.3257683851839754,,27.1,,,1397.0,39566.05,4287.17313995098,1.03221750658374,62.10447842,7.20127970144306,40.6293239880732,132.199444256099,2189.14677796205,13.8,,276758053.0,4.969553522843026,1.799683038715851,,,IDN
IDN,2022,383.0,,,1.2824607700987838,,27.9,,,,31947.1,4730.83484836107,0.863943349575907,66.48461277,8.30819306709832,42.3260385456152,122.873012230307,2496.40884911853,14.054,9.48062106505868,278830529.0,4.749922529061137,,366.0,359.0,IDN
IDN,2023,,,,1.2370539680264598,,30.3,,,,,4876.30774512252,1.27517088245674,69.20836554,9.08308687782522,44.8813034886441,125.238194847046,2722.38990575723,13.015,9.32683739576692,281190067.0,,,,,IDN
IRL,2012,522.0,,,1.494736358553187,156450.15892149138,58.7,1.5455,4873.66344,,7018.56,49335.8408099555,5.70776987075806,76.919992540097,25.5863586944318,68.1972503662109,108.989828987516,2466.77217013119,30.792,,4599533.0,7.331013695089755,,501.0,523.0,IRL
IRL,2013,,,,1.490614582442944,156907.6638329187,57.91,1.53562,5141.73776,,7077.4,52537.6108648692,5.23177003860474,78.2477,24.9839328156584,71.6995468139648,105.53780299895,2641.75737096805,26.732,,4623816.0,7.334094657367238,,,,IRL
IRL,2014,,,,1.436291955561847,159778.30844666567,56.67,1.47756,5290.95054,,7186.57,57214.5379785709,4.73554992675781,83.4917223351728,24.9189231516136,73.813232421875,105.460883393918,2807.79949074014,23.416,31.0609990347078,4657740.0,7.342086840787587,,,,IRL
IRL,2015,503.0,,,1.4902639129487203,139801.72695971848,59.13,1.14062,5242.06636,,6896.82,64250.1385181257,3.62438988685608,83.4947916666667,28.3389494347801,77.2321472167969,104.242903808134,3194.41458099255,20.235,31.1764627730336,4701957.0,7.291518434709459,,504.0,521.0,IRL
IRL,2016,,,,1.459208360244692,143315.63550138005,59.03,1.14954,5143.85544,79.0,7148.95,64129.5571542383,3.65881991386414,83.5,32.8418171476767,77.5571365356445,102.558386941167,11725.2277164193,16.797,31.7892265802023,4762722.0,7.314567409196828,2.86716871010683,,,IRL
IRL,2017,,,,1.4676188610693068,170478.72067526763,58.13,1.20821,5114.19434,62.0,7288.93,72161.4047531385,3.37737011909485,84.1140070623844,29.3340262522775,77.5191116333008,101.842124574945,38437.1028566871,14.402,31.1619205474854,4827445.0,7.320456774576237,2.6277965072638683,,,IRL
IRL,2018,496.0,,,1.4790974628681834,187824.33206529915,57.19,1.08244,4656.77702,76.0,7457.08,80804.1123164826,3.30347990989685,87.0001401148942,25.0152782298751,76.7604675292969,102.030494877842,69157.3047242336,13.756,35.1531239019396,4898022.0,7.328744358304671,2.804357923678221,500.0,518.0,IRL
IRL,2019,,,,1.4280539824598455,187576.75854016095,56.1,1.13733,4961.4389,58.0,7999.14,81827.6688873996,3.22984004020691,87.0000552425146,25.9769791902199,74.444580078125,104.597515228061,94607.6886844775,12.457,35.4656977800903,4976456.0,7.382993254213331,2.538042951147648,,,IRL
IRL,2020,,,,1.3926214525367373,187253.3575199379,53.05,1.12466,5196.11055,75.0,8513.7,86514.0706108754,3.19163990020752,91.99989097,25.8991544690003,74.1961975097656,105.045612677382,114566.465340423,15.263,37.2187148537184,5039747.0,7.432667809453185,2.7651674663804005,,,IRL
IRL,2021,,,,1.3295851965014351,213641.22827853775,50.7,1.0732,5213.43167,75.0,9437.0,103783.446284479,2.90461993217468,93.50610352,28.4781475271992,78.4613265991211,106.86972424373,113930.009969504,15.612,38.4914834180722,5110585.0,7.521620933996878,2.7520941135873627,,,IRL
IRL,2022,504.0,,,1.3853541200726192,290131.85761625064,48.5,1.53215,5554.98837,,9254.27,105190.685952731,,95.03690338,46.7867801497714,77.5933380126953,110.608851322579,134764.070843587,9.389,38.4278214966169,5212836.0,7.482279431357448,,492.0,516.0,IRL
IRL,2023,,,,1.4343580089545738,294916.4006300196,50.4,1.58829,5752.79698,,,106818.917130804,,96.8660965,47.7737732849219,,110.798344311602,149934.162195583,10.161,41.8523570536881,5311538.0,,,,,IRL
ISL,2012,478.0,,,1.1386597945202666,,55.7,,,37.0,645.19,46594.9869146614,7.58223009109497,96.2097995545657,15.3938778989576,79.5824813842773,109.747195651429,4580.37640778757,13.201,,320716.0,7.607241093897131,4.756747843882271,493.0,483.0,ISL
ISL,2013,,,,1.1410872209505911,147937.21070403364,56.4,1.69237,5739.72216,33.0,589.16,50173.3360061057,7.44866991043091,96.5468,15.7355558714745,78.3723907470703,109.997066860151,5522.54111019137,10.415,,323764.0,7.506987601273513,4.634011199764738,,,ISL
ISL,2014,,,,1.063157894736842,,54.05,1.93616,,51.0,597.31,55140.364935793,7.6414098739624,98.1580233097118,17.1233939798944,80.3950881958008,112.987310388627,6576.33496850812,9.566,31.3356183131779,327386.0,7.509599568210589,5.054839825998534,,,ISL
